plan,heads,grounding_mass
baseline,,0.026339
grounding,"[(0, 2), (0, 13), (0, 20)]",0.026118
cond,"[(0, 7), (0, 22), (0, 23)]",0.026314
reroute,"[(0, 21), (0, 25), (1, 17)]",0.026277
unassigned,"[(0, 0), (0, 1), (0, 3)]",0.028030
random,"[(25, 6), (5, 31), (3, 16)]",0.025841
sink,"[(0, 9), (0, 28), (0, 31)]",0.026529
