layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
13,445,0,unassigned,0.032628,4.422665,0.024143,0.010000,0.037759,0.040140,0.008655,0.894043,0.977539,0.160841,2.646491,0.000000
13,446,3,cond,0.110474,5.217579,0.094754,0.040000,0.122672,0.196832,0.153244,0.777344,0.974609,0.163317,1.605638,0.000000
13,447,3,cond,0.146679,5.197845,0.172971,0.407500,0.159828,0.199871,0.213550,0.651855,0.974121,0.158274,1.329234,0.000000
14,448,1,unassigned,0.046116,4.999316,0.038479,0.010000,0.052672,0.067244,0.040368,0.704102,0.967773,0.158031,1.333676,0.000000
14,449,0,reroute,0.076740,4.340649,0.072723,0.070000,0.088060,0.129294,0.014221,0.894531,0.978516,0.279146,2.714284,0.000000
14,450,3,unassigned,0.136676,3.337532,0.490160,0.822500,0.150043,0.392156,0.047207,0.801758,0.970215,0.149499,2.730038,0.000000
14,451,3,grounding,0.176239,2.460063,0.626322,0.857500,0.187543,0.640412,0.208485,0.520508,0.966797,0.143339,2.344938,0.000000
14,452,3,unassigned,0.129244,3.917000,0.297758,0.505000,0.141509,0.182484,0.031356,0.448242,0.972168,0.124551,1.574242,0.000000
14,453,1,unassigned,0.098863,4.827214,0.131991,0.240000,0.110388,0.137736,0.085502,0.627930,0.985840,0.156651,1.271618,0.000000
14,454,1,sink,0.086731,5.641306,0.079350,0.282500,0.099267,0.046287,0.021261,0.934082,0.995117,0.198062,1.890326,0.000000
14,455,3,unassigned,0.155422,3.823901,0.403189,0.830000,0.168147,0.273077,0.098506,0.639160,0.977051,0.131258,1.014338,0.000000
14,456,0,sink,0.040963,4.138270,0.025645,0.010000,0.047974,0.022061,0.007153,0.964355,0.977539,0.170886,3.291987,0.000000
14,457,3,grounding,0.160093,2.891353,0.523080,0.710000,0.172629,0.615285,0.226246,0.304443,0.962402,0.142973,1.881143,0.000000
14,458,3,sink,0.128935,4.311399,0.301433,0.815000,0.142629,0.082816,0.024018,0.937500,0.977051,0.175623,1.951569,0.000000
14,459,3,unassigned,0.136656,4.751135,0.251202,0.707500,0.149569,0.235517,0.071551,0.478516,0.967285,0.141373,1.549143,0.000000
14,460,1,unassigned,0.100577,4.009884,0.269459,0.535000,0.112371,0.471200,0.072344,0.818848,0.985840,0.221229,1.768267,0.000000
14,461,3,grounding,0.163647,3.485448,0.433075,0.637500,0.175905,0.474574,0.078271,0.532715,0.967773,0.117319,1.588083,0.000000
14,462,0,unassigned,0.056073,4.213941,0.038302,0.007500,0.063491,0.076001,0.040311,0.674316,0.973633,0.132961,3.098882,0.000000
14,463,1,reroute,0.107337,5.478862,0.095970,0.200000,0.119698,0.102399,0.098177,0.642090,0.978516,0.298915,1.889489,0.000000
14,464,3,unassigned,0.138619,3.766356,0.400083,0.725000,0.152026,0.155708,0.107876,0.802734,0.968750,0.216580,1.757807,0.000000
14,465,0,unassigned,0.123959,4.133775,0.263591,0.605000,0.136767,0.250074,0.038598,0.772949,0.976074,0.165063,2.971633,0.000000
14,466,3,grounding,0.157575,1.862442,0.713072,0.885000,0.169353,0.525129,0.080606,0.755371,0.984375,0.194188,2.981181,0.000000
14,467,2,unassigned,0.132326,4.350472,0.248879,0.467500,0.145345,0.511625,0.253860,0.269287,0.940430,0.144546,2.079557,0.000000
14,468,3,unassigned,0.149387,3.675325,0.339088,0.447500,0.162371,0.593281,0.114759,0.343018,0.967773,0.134509,2.542997,0.000000
