method,alpha,acc,precision,recall,f1,yes_rate
vanilla,0.0,0.815,0.8,0.8543689320388349,0.8262910798122066,0.55
pai_uniform,0.25,0.815,0.7946428571428571,0.8640776699029126,0.827906976744186,0.56
pai_uniform,0.5,0.815,0.7844827586206896,0.883495145631068,0.8310502283105023,0.58
pai_uniform,0.75,0.82,0.7863247863247863,0.8932038834951457,0.8363636363636364,0.585
pai_uniform,1.0,0.82,0.7863247863247863,0.8932038834951457,0.8363636363636364,0.585
ours_headselective,0.25,0.815,0.7946428571428571,0.8640776699029126,0.827906976744186,0.56
ours_headselective,0.5,0.82,0.7913043478260869,0.883495145631068,0.834862385321101,0.575
ours_headselective,0.75,0.81,0.782608695652174,0.8737864077669902,0.8256880733944955,0.575
ours_headselective,1.0,0.82,0.7913043478260869,0.883495145631068,0.834862385321101,0.575
