method,alpha,acc,precision,recall,f1,yes_rate
vanilla,0.0,0.725,0.6875,0.8543689320388349,0.7619047619047619,0.64
pai_uniform,0.25,0.715,0.6742424242424242,0.8640776699029126,0.7574468085106382,0.66
pai_uniform,0.5,0.72,0.674074074074074,0.883495145631068,0.7647058823529412,0.675
pai_uniform,0.75,0.725,0.6764705882352942,0.8932038834951457,0.7698744769874478,0.68
pai_uniform,1.0,0.72,0.6715328467153284,0.8932038834951457,0.7666666666666666,0.685
ours_headselective,0.25,0.725,0.6846153846153846,0.8640776699029126,0.7639484978540773,0.65
ours_headselective,0.5,0.725,0.6791044776119403,0.883495145631068,0.7679324894514767,0.67
ours_headselective,0.75,0.715,0.6716417910447762,0.8737864077669902,0.759493670886076,0.67
ours_headselective,1.0,0.725,0.6791044776119403,0.883495145631068,0.7679324894514767,0.67
