method,alpha,acc,precision,recall,f1,yes_rate
vanilla,0.0,0.855,0.8627450980392157,0.8543689320388349,0.8585365853658536,0.51
pai_uniform,0.25,0.87,0.8811881188118812,0.8640776699029126,0.8725490196078431,0.505
pai_uniform,0.5,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
pai_uniform,0.75,0.86,0.8440366972477065,0.8932038834951457,0.8679245283018868,0.545
pai_uniform,1.0,0.85,0.8288288288288288,0.8932038834951457,0.8598130841121495,0.555
ours_headselective,0.25,0.855,0.8557692307692307,0.8640776699029126,0.8599033816425121,0.52
ours_headselective,0.5,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
ours_headselective,0.75,0.865,0.8653846153846154,0.8737864077669902,0.8695652173913043,0.52
ours_headselective,1.0,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
