method,alpha,acc,precision,recall,f1,yes_rate
vanilla,0.0,0.815,0.8,0.8543689320388349,0.8262910798122066,0.55
pai_uniform,0.5,0.815,0.7844827586206896,0.883495145631068,0.8310502283105023,0.58
pai_uniform,1.0,0.82,0.7863247863247863,0.8932038834951457,0.8363636363636364,0.585
pai_uniform,2.0,0.82,0.7863247863247863,0.8932038834951457,0.8363636363636364,0.585
ours_headselective,0.5,0.82,0.7913043478260869,0.883495145631068,0.834862385321101,0.575
ours_headselective,1.0,0.82,0.7913043478260869,0.883495145631068,0.834862385321101,0.575
ours_headselective,2.0,0.805,0.7580645161290323,0.912621359223301,0.8281938325991189,0.62
