method,alpha,acc,precision,recall,f1,yes_rate
vanilla,0.0,0.725,0.6875,0.8543689320388349,0.7619047619047619,0.64
pai_uniform,0.5,0.72,0.674074074074074,0.883495145631068,0.7647058823529412,0.675
pai_uniform,1.0,0.72,0.6715328467153284,0.8932038834951457,0.7666666666666666,0.685
pai_uniform,2.0,0.725,0.6791044776119403,0.883495145631068,0.7679324894514767,0.67
ours_headselective,0.5,0.725,0.6791044776119403,0.883495145631068,0.7679324894514767,0.67
ours_headselective,1.0,0.725,0.6791044776119403,0.883495145631068,0.7679324894514767,0.67
ours_headselective,2.0,0.72,0.6666666666666666,0.912621359223301,0.7704918032786886,0.705
