method,alpha,acc,precision,recall,f1,yes_rate
vanilla,0.0,0.855,0.8627450980392157,0.8543689320388349,0.8585365853658536,0.51
pai_uniform,0.5,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
pai_uniform,1.0,0.85,0.8288288288288288,0.8932038834951457,0.8598130841121495,0.555
pai_uniform,2.0,0.85,0.8288288288288288,0.8932038834951457,0.8598130841121495,0.555
ours_headselective,0.5,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
ours_headselective,1.0,0.865,0.8584905660377359,0.883495145631068,0.8708133971291866,0.53
ours_headselective,2.0,0.865,0.8392857142857143,0.912621359223301,0.8744186046511627,0.56
