layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
1,39,1,sink,0.105649,1.971404,0.061791,0.015000,0.119712,nan,1.968764,0.484619,0.975098,0.054024,0.221652,0.000000
1,40,2,unassigned,0.073486,2.645000,0.033287,0.015000,0.085096,nan,1.889464,0.099609,0.971191,0.051454,0.224935,0.000000
1,41,0,unassigned,0.148581,5.007843,0.057960,0.015000,0.163077,nan,2.344110,0.431885,0.972168,0.076990,0.070648,0.000000
1,42,0,sink,0.127306,4.990844,0.061318,0.017500,0.141923,nan,2.517502,0.701172,0.967285,0.070921,0.073192,0.000000
1,43,2,unassigned,0.020694,0.663637,0.021214,0.017500,0.022308,nan,1.584706,0.014641,0.962891,0.081911,0.127406,0.000000
1,44,0,unassigned,0.117970,4.970156,0.071997,0.060000,0.133269,nan,1.848847,0.057556,0.974121,0.071019,0.113038,0.000000
1,45,0,grounding,0.134841,5.149584,0.084297,0.202500,0.150096,nan,1.944560,0.010918,0.968262,0.082836,0.102332,0.000000
1,46,0,unassigned,0.128032,5.095783,0.062585,0.015000,0.142212,nan,2.513707,0.399414,0.966309,0.077303,0.062554,0.000000
1,47,2,unassigned,0.019392,0.006931,0.015000,0.015000,0.020673,nan,1.506189,0.004307,1.000000,0.075199,0.436433,0.000000
1,48,0,unassigned,0.119033,4.923579,0.085345,0.210000,0.133558,nan,2.090198,0.022217,0.965332,0.099654,0.206606,0.000000
1,49,2,unassigned,0.016712,3.890212,0.024344,0.017500,0.020481,nan,2.248147,0.471191,0.969238,0.047557,0.457761,0.000000
1,50,0,grounding,0.122263,4.797710,0.135704,0.547500,0.137500,nan,2.422939,0.312988,0.992676,0.094388,0.199985,0.000000
1,51,1,unassigned,0.067831,5.190033,0.041584,0.017500,0.079904,nan,2.014255,0.098816,0.971191,0.085301,0.087065,0.000000
1,52,1,reroute,0.014575,5.241891,0.022867,0.002500,0.017981,nan,2.091349,0.003330,1.000000,0.120341,0.214649,0.000000
1,53,0,grounding,0.149985,5.000052,0.080385,0.025000,0.163846,nan,2.169374,0.009735,0.975098,0.098440,0.168028,0.000000
1,54,2,reroute,0.046076,4.682362,0.044816,0.060000,0.054615,nan,2.440462,0.143066,0.970215,0.103359,0.501294,0.000000
1,55,0,grounding,0.175125,5.302249,0.071668,0.090000,0.187596,nan,2.152576,0.083130,0.968750,0.088489,0.073932,0.000000
2,56,1,unassigned,0.069200,2.906521,0.033838,0.015000,0.080962,nan,1.804068,0.502930,0.989258,0.086154,0.217023,0.000000
2,57,1,sink,0.120522,4.671289,0.075448,0.030000,0.134615,nan,1.876279,0.643066,0.979492,0.110490,0.163773,0.000000
2,58,1,sink,0.062830,4.391850,0.041821,0.015000,0.074327,nan,1.852994,0.659180,0.977051,0.079426,0.118961,0.000000
2,59,2,unassigned,0.066704,1.329112,0.023814,0.015000,0.078654,nan,1.630544,0.445068,0.976074,0.085435,0.289728,0.000000
2,60,0,sink,0.143090,4.299277,0.107164,0.025000,0.156923,nan,1.983106,0.736328,0.983887,0.081819,0.172774,0.000000
2,61,1,unassigned,0.087475,3.301086,0.045172,0.015000,0.101154,nan,1.733387,0.530762,0.974121,0.085275,0.166928,0.000000
2,62,1,unassigned,0.084682,2.457776,0.038080,0.015000,0.097692,nan,1.537107,0.427490,0.977051,0.064337,0.172468,0.000000
2,63,1,unassigned,0.104045,4.673722,0.057945,0.015000,0.118269,nan,2.150688,0.388184,0.974121,0.088504,0.151830,0.000000
2,64,1,unassigned,0.112604,4.888376,0.069686,0.025000,0.126923,nan,2.190713,0.354736,0.970703,0.082161,0.146362,0.000000
2,65,0,unassigned,0.122862,4.811715,0.091298,0.085000,0.137692,nan,2.419384,0.187134,0.974121,0.087886,0.260762,0.000000
2,66,2,reroute,0.081718,4.683942,0.058362,0.017500,0.094327,nan,2.201081,0.219849,0.983398,0.120493,0.270521,0.000000
2,67,0,unassigned,0.145295,4.771017,0.071963,0.012500,0.159615,nan,2.151500,0.306152,0.978027,0.092133,0.148432,0.000000
2,68,1,unassigned,0.118481,4.844531,0.062827,0.025000,0.132885,nan,2.200194,0.431152,0.977539,0.093510,0.192860,0.000000
2,69,1,sink,0.085127,3.808345,0.036967,0.012500,0.098269,nan,2.039178,0.742188,0.989258,0.056340,0.197041,0.000000
2,70,0,unassigned,0.124610,4.919250,0.085410,0.105000,0.139038,nan,2.268142,0.264648,0.973145,0.078359,0.079550,0.000000
2,71,0,grounding,0.158361,4.545471,0.116480,0.060000,0.172404,nan,2.379830,0.452148,0.981445,0.061233,0.169295,0.000000
2,72,2,grounding,0.130465,4.157836,0.125345,0.025000,0.145673,nan,2.217011,0.045929,0.957031,0.055678,0.156663,0.000000
2,73,0,grounding,0.108497,4.355912,0.195388,0.760000,0.124135,nan,2.478097,0.254150,0.980469,0.088534,0.290319,0.000000
