method,alpha,acc,precision,recall,f1,yes_rate
vanilla,0.0,0.865,1.0,0.7378640776699029,0.8491620111731844,0.38
pai_uniform,0.25,0.865,1.0,0.7378640776699029,0.8491620111731844,0.38
pai_uniform,0.5,0.86,1.0,0.7281553398058253,0.8426966292134831,0.375
pai_uniform,0.75,0.86,1.0,0.7281553398058253,0.8426966292134831,0.375
pai_uniform,1.0,0.86,1.0,0.7281553398058253,0.8426966292134831,0.375
ours_headselective,0.25,0.865,1.0,0.7378640776699029,0.8491620111731844,0.38
ours_headselective,0.5,0.87,1.0,0.7475728155339806,0.8555555555555555,0.385
ours_headselective,0.75,0.865,1.0,0.7378640776699029,0.8491620111731844,0.38
ours_headselective,1.0,0.855,1.0,0.7184466019417476,0.8361581920903954,0.37
