method,alpha,acc,precision,recall,f1,yes_rate
vanilla,0.0,0.845,0.95,0.7378640776699029,0.8306010928961749,0.4
pai_uniform,0.25,0.845,0.95,0.7378640776699029,0.8306010928961749,0.4
pai_uniform,0.5,0.84,0.9493670886075949,0.7281553398058253,0.8241758241758242,0.395
pai_uniform,0.75,0.84,0.9493670886075949,0.7281553398058253,0.8241758241758242,0.395
pai_uniform,1.0,0.84,0.9493670886075949,0.7281553398058253,0.8241758241758242,0.395
ours_headselective,0.25,0.85,0.9620253164556962,0.7378640776699029,0.8351648351648352,0.395
ours_headselective,0.5,0.855,0.9625,0.7475728155339806,0.8415300546448088,0.4
ours_headselective,0.75,0.85,0.9620253164556962,0.7378640776699029,0.8351648351648352,0.395
ours_headselective,1.0,0.84,0.961038961038961,0.7184466019417476,0.8222222222222222,0.385
